Label.ID,Label.Name,R,G,B,Flag,FreeSurferLabel,Label.Number,Label.AbbrevName,Label.FullName,Label.Hemisphere,Label.Lobe,Label.Cortex,TissueClass,Label.RegionName
197,right-middletemporal_5,255,0,171,0,11206911,24,R mtg,Right mtg,Right,NA,TRUE,2,mtg
198,right-middletemporal_6,0,255,157,0,10354432,NA,,,,NA,NA,NA,NA
199,right-middletemporal_7,255,6,0,0,1791,24,R mtg,Right mtg,Right,NA,TRUE,2,mtg
200,right-middletemporal_8,2,0,255,0,16711682,24,R mtg,Right mtg,Right,NA,TRUE,2,mtg
201,right-middletemporal_9,82,0,255,0,16711762,NA,,,,NA,NA,NA,NA
202,right-bankssts_1,255,0,104,0,6815999,NA,,,,NA,NA,NA,NA
203,right-bankssts_2,0,255,29,0,1965824,NA,,,,NA,NA,NA,NA
204,right-bankssts_3,255,0,159,0,10420479,46,R wernicke,Right wernicke,Right,NA,TRUE,2,wernicke
205,right-superiortemporal_1,0,255,108,0,7143168,46,R wernicke,Right wernicke,Right,NA,TRUE,2,wernicke
206,right-superiortemporal_2,0,255,90,0,5963520,46,R wernicke,Right wernicke,Right,NA,TRUE,2,wernicke
207,right-superiortemporal_3,75,255,0,0,65355,NA,,,,NA,NA,NA,NA
208,right-superiortemporal_4,0,133,255,0,16745728,NA,,,,NA,NA,NA,NA
209,right-superiortemporal_5,0,255,163,0,10747648,38,R SMTC,Right stg,Right,NA,TRUE,2,stg
