Label.ID,Label.Name,R,G,B,Flag,FreeSurferLabel,Label.Number,Label.AbbrevName,Label.FullName,Label.Hemisphere,Label.Lobe,Label.Cortex,TissueClass,Label.RegionName
430,left-middletemporal_5,255,0,171,0,11206911,23,L mtg,Left mtg,Left,NA,TRUE,2,mtg
431,left-middletemporal_6,0,255,157,0,10354432,23,L mtg,Left mtg,Left,NA,TRUE,2,mtg
432,left-middletemporal_7,255,6,0,0,1791,NA,,,,NA,NA,NA,NA
433,left-bankssts_1,255,0,104,0,6815999,45,L wernicke,Left wernicke,Left,NA,TRUE,2,wernicke
434,left-bankssts_2,0,255,29,0,1965824,NA,,,,NA,NA,NA,NA
435,left-bankssts_3,255,0,159,0,10420479,45,L wernicke,Left wernicke,Left,NA,TRUE,2,wernicke
436,left-superiortemporal_1,0,255,108,0,7143168,45,L wernicke,Left wernicke,Left,NA,TRUE,2,wernicke
437,left-superiortemporal_2,0,255,90,0,5963520,45,L wernicke,Left wernicke,Left,NA,TRUE,2,wernicke
438,left-superiortemporal_3,75,255,0,0,65355,NA,,,,NA,NA,NA,NA
439,left-superiortemporal_4,0,133,255,0,16745728,NA,,,,NA,NA,NA,NA
440,left-superiortemporal_5,0,255,163,0,10747648,37,L SMTC,Left stg,Left,NA,TRUE,2,stg
441,left-superiortemporal_6,100,0,255,0,16711780,37,L SMTC,Left stg,Left,NA,TRUE,2,stg
442,left-superiortemporal_7,27,255,0,0,65307,37,L SMTC,Left stg,Left,NA,TRUE,2,stg
443,left-superiortemporal_8,255,0,196,0,12845311,37,L SMTC,Left stg,Left,NA,TRUE,2,stg
444,left-superiortemporal_9,180,0,255,0,16711860,37,L SMTC,Left stg,Left,NA,TRUE,2,stg
445,left-superiortemporal_10,0,255,212,0,13958912,NA,,,,NA,NA,NA,NA
446,left-superiortemporal_11,0,145,255,0,16748800,NA,,,,NA,NA,NA,NA
447,left-transversetemporal_1,0,255,65,0,4325120,NA,,,,NA,NA,NA,NA
448,left-transversetemporal_2,0,255,151,0,9961216,NA,,,,NA,NA,NA,NA
449,left-insula_1,167,0,255,0,16711847,NA,,,,NA,NA,NA,NA
450,left-insula_2,0,255,10,0,720640,NA,,,,NA,NA,NA,NA
451,left-insula_3,137,0,255,0,16711817,17,L aINS,Left insula,Left,NA,TRUE,2,insula
452,left-insula_4,255,92,0,0,23807,17,L aINS,Left insula,Left,NA,TRUE,2,insula
453,left-insula_5,0,120,255,0,16742400,17,L aINS,Left insula,Left,NA,TRUE,2,insula
454,left-insula_6,0,255,200,0,13172480,17,L aINS,Left insula,Left,NA,TRUE,2,insula
455,left-insula_7,0,255,84,0,5570304,17,L aINS,Left insula,Left,NA,TRUE,2,insula
