,pval,stat
ANG_L,0.9999999986594289,6.868188318379122
ATC_L,0.9993562777643271,4.476552662738235
HIP_L,0.999996776907315,5.427960514246208
IFC_L,0.9999725274715021,6.298168976781899
M1_L,0.9999999936979941,6.550771288818342
MFC_L,0.9999999999999991,9.74853504651624
OFC_L,0.9999998740886282,5.70410527195039
SMTC_L,0.9999999996989781,7.120637957713066
SPC_L,0.999999922202357,7.064110928356482
V1_L,0.9999998432690607,5.603606892656252
aCING_L,0.9999999999725974,7.876630219672291
aINS_L,0.9999137132379639,4.473018932621869
aITC_L,0.9999865034526406,5.681752781774936
dlPFC_L,0.999999961761559,7.738699348234804
iPFC_L,0.9995012534794074,4.354056826245209
pCING_L,0.9992041991030323,4.6900553098831725
ANG_R,0.9999999990781386,7.465237884893877
ATC_R,0.9823760735249186,2.511733595653905
HIP_R,0.9999951875750073,5.440222053644847
IFC_R,0.9999927019077933,6.337283328847921
M1_R,0.999999999999987,9.680193655240226
MFC_R,0.9999999999999888,9.78257361223465
OFC_R,0.9999999992688304,7.027050598186307
SMTC_R,0.9999999990996886,7.402426698888104
SPC_R,0.999999999532529,8.109517612011773
V1_R,0.9999999860261617,6.2618792689592855
aCING_R,0.9999999999438913,7.987739116329711
aINS_R,0.9999057036365852,4.707652983034721
aITC_R,0.9999972869092549,6.682931147038288
dlPFC_R,0.9999998826085074,7.132163925904811
iPFC_R,0.9999902649748489,5.69535842363966
pCING_R,0.996735083152399,3.3154670970488107
