,corrected pval,Result
ANG_L,0.9999448035968591,False
ATC_L,0.9999448035968591,False
HIP_L,0.9999448035968591,False
IFC_L,0.9999448035968591,False
M1_L,0.9999448035968591,False
MFC_L,0.9999448035968591,False
OFC_L,0.9999448035968591,False
SMTC_L,0.9999448035968591,False
SPC_L,0.9999448035968591,False
V1_L,0.9999448035968591,False
aCING_L,0.9999448035968591,False
aINS_L,0.9999448035968591,False
aITC_L,0.9999448035968591,False
dlPFC_L,0.9999448035968591,False
iPFC_L,0.9999448035968591,False
pCING_L,0.9999448035968591,False
ANG_R,0.9999448035968591,False
ATC_R,0.9999448035968591,False
HIP_R,0.9999448035968591,False
IFC_R,0.9999448035968591,False
M1_R,0.9999448035968591,False
MFC_R,0.9999448035968591,False
OFC_R,0.9999448035968591,False
SMTC_R,0.9999448035968591,False
SPC_R,0.9999448035968591,False
V1_R,0.9999448035968591,False
aCING_R,0.9999448035968591,False
aINS_R,0.9999448035968591,False
aITC_R,0.9999448035968591,False
dlPFC_R,0.9999448035968591,False
iPFC_R,0.9999448035968591,False
pCING_R,0.9999448035968591,False
