,pval,stat
ANG_L,0.03914589390069271,1.7949613595754113
ATC_L,0.9178580701981391,-1.4133203019521907
HIP_L,0.8677505130726745,-1.1276389570301908
IFC_L,0.21564870427324578,0.7937728684409469
M1_L,0.052387077247222774,1.650017447213958
MFC_L,0.6564573693943052,-0.40509673561028237
OFC_L,0.7054448523756871,-0.5439010649898438
SMTC_L,0.644148479154931,-0.37154607919495825
SPC_L,0.0018080025948556174,3.0537264602408163
V1_L,0.026544539758117592,1.9775955772262233
aCING_L,0.318299510163194,0.4752022254862914
aINS_L,0.508868727725631,-0.022343922642722888
aITC_L,0.9099271315407955,-1.3605552683908306
dlPFC_L,0.587950912063528,-0.2235422256253797
iPFC_L,0.2858080844902862,0.5692759137123857
pCING_L,1.7829125189550033e-05,4.522955677292486
ANG_R,0.14638160303489378,1.0640178885748341
ATC_R,0.9998771218717761,-3.9591562231093405
HIP_R,0.9986384407751119,-3.1420496336214563
IFC_R,0.99664905099966,-2.820146667696304
M1_R,0.15740066917603582,1.0149047001066838
MFC_R,0.9889078843606162,-2.3601677422674383
OFC_R,0.9644809240098915,-1.8415680567466932
SMTC_R,0.946423580223367,-1.6389233036660507
SPC_R,0.24809833338931442,0.6851789253220695
V1_R,0.8499697977862437,-1.0477202725190298
aCING_R,0.8398404433024507,-1.0035031513349022
aINS_R,0.8386014382268273,-0.9989693068623728
aITC_R,0.9957478726091231,-2.7376604397142636
dlPFC_R,0.7535422677969258,-0.6909989960630107
iPFC_R,0.7941797948609401,-0.8276292589138884
pCING_R,0.8783749459595804,-1.181312918134497
