,corrected pval,Result
ANG_L,0.31166581107660246,False
ATC_L,0.028860390643495822,True
HIP_L,0.051485438244565286,False
IFC_L,0.21006863724944408,False
M1_L,0.21708432429688487,False
MFC_L,0.16278687650676352,False
OFC_L,0.16551712272362396,False
SMTC_L,0.41326304870130165,False
SPC_L,0.4606831694549144,False
V1_L,0.8395679464944095,False
aCING_L,0.05706466360352428,False
aINS_L,0.03460942924170923,True
aITC_L,0.029598332540371763,True
dlPFC_L,0.23603079294010695,False
iPFC_L,0.5368209728818695,False
pCING_L,0.7784266256641578,False
ANG_R,0.028860390643495822,True
ATC_R,0.029598332540371763,True
HIP_R,0.41326304870130165,False
IFC_R,0.2036621297393072,False
M1_R,0.09757281187343943,False
MFC_R,0.028860390643495822,True
OFC_R,0.03460942924170923,True
SMTC_R,0.21509898685630052,False
SPC_R,0.4608935348920952,False
V1_R,0.8395679464944095,False
aCING_R,0.07710091539394927,False
aINS_R,0.029598332540371763,True
aITC_R,0.029598332540371763,True
dlPFC_R,0.05706466360352428,False
iPFC_R,0.17736305048184076,False
pCING_R,0.3270755432616102,False
