,corrected pval,Result
ANG_L,0.9985160908082714,False
ATC_L,0.9985160908082714,False
HIP_L,0.9985160908082714,False
IFC_L,0.9985160908082714,False
M1_L,0.9985160908082714,False
MFC_L,0.9985160908082714,False
OFC_L,0.9985160908082714,False
SMTC_L,0.9985160908082714,False
SPC_L,0.9985160908082714,False
V1_L,0.9985160908082714,False
aCING_L,0.9985160908082714,False
aINS_L,0.9985160908082714,False
aITC_L,0.9985160908082714,False
dlPFC_L,0.9985160908082714,False
iPFC_L,0.9985160908082714,False
pCING_L,0.9985160908082714,False
ANG_R,0.9985160908082714,False
ATC_R,0.9985160908082714,False
HIP_R,0.9985160908082714,False
IFC_R,0.9985160908082714,False
M1_R,0.9985160908082714,False
MFC_R,0.9985160908082714,False
OFC_R,0.9985160908082714,False
SMTC_R,0.9985160908082714,False
SPC_R,0.9985160908082714,False
V1_R,0.9985160908082714,False
aCING_R,0.9985160908082714,False
aINS_R,0.9985160908082714,False
aITC_R,0.9985160908082714,False
dlPFC_R,0.9985160908082714,False
iPFC_R,0.9985160908082714,False
pCING_R,0.9985160908082714,False
