,corrected pval,Result
ANG_L,0.9981011178004597,False
ATC_L,0.9981011178004597,False
HIP_L,0.9981011178004597,False
IFC_L,0.9981011178004597,False
M1_L,0.9981011178004597,False
MFC_L,0.9981011178004597,False
OFC_L,0.9981011178004597,False
SMTC_L,0.9981011178004597,False
SPC_L,0.9981011178004597,False
V1_L,0.9981011178004597,False
aCING_L,0.9981011178004597,False
aINS_L,0.9981011178004597,False
aITC_L,0.9981011178004597,False
dlPFC_L,0.9981011178004597,False
iPFC_L,0.9981011178004597,False
pCING_L,0.9981011178004597,False
ANG_R,0.9981011178004597,False
ATC_R,0.9981011178004597,False
HIP_R,0.9981011178004597,False
IFC_R,0.9981011178004597,False
M1_R,0.9981011178004597,False
MFC_R,0.9981011178004597,False
OFC_R,0.9981011178004597,False
SMTC_R,0.9981011178004597,False
SPC_R,0.9981011178004597,False
V1_R,0.9981011178004597,False
aCING_R,0.9981011178004597,False
aINS_R,0.9981011178004597,False
aITC_R,0.9981011178004597,False
dlPFC_R,0.9981011178004597,False
iPFC_R,0.9981011178004597,False
pCING_R,0.9981011178004597,False
