,pval,stat
ANG_L,0.9608541060993073,1.7949613595754113
ATC_L,0.08214192980186086,-1.4133203019521907
HIP_L,0.13224948692732555,-1.1276389570301908
IFC_L,0.7843512957267542,0.7937728684409469
M1_L,0.9476129227527772,1.650017447213958
MFC_L,0.34354263060569473,-0.40509673561028237
OFC_L,0.2945551476243128,-0.5439010649898438
SMTC_L,0.35585152084506894,-0.37154607919495825
SPC_L,0.9981919974051444,3.0537264602408163
V1_L,0.9734554602418823,1.9775955772262233
aCING_L,0.681700489836806,0.4752022254862914
aINS_L,0.49113127227436915,-0.022343922642722888
aITC_L,0.09007286845920454,-1.3605552683908306
dlPFC_L,0.412049087936472,-0.2235422256253797
iPFC_L,0.7141919155097138,0.5692759137123857
pCING_L,0.9999821708748104,4.522955677292486
ANG_R,0.8536183969651062,1.0640178885748341
ATC_R,0.00012287812822383244,-3.9591562231093405
HIP_R,0.0013615592248881244,-3.1420496336214563
IFC_R,0.0033509490003400394,-2.820146667696304
M1_R,0.8425993308239642,1.0149047001066838
MFC_R,0.011092115639383901,-2.3601677422674383
OFC_R,0.03551907599010847,-1.8415680567466932
SMTC_R,0.05357641977663295,-1.6389233036660507
SPC_R,0.7519016666106856,0.6851789253220695
V1_R,0.15003020221375632,-1.0477202725190298
aCING_R,0.1601595566975494,-1.0035031513349022
aINS_R,0.1613985617731727,-0.9989693068623728
aITC_R,0.004252127390876915,-2.7376604397142636
dlPFC_R,0.2464577322030742,-0.6909989960630107
iPFC_R,0.2058202051390599,-0.8276292589138884
pCING_R,0.12162505404041951,-1.181312918134497
