,corrected pval,Result
ANG_L,0.23083594356675957,False
ATC_L,0.028625676599096428,True
HIP_L,0.042914482653093264,True
IFC_L,0.16931524286786312,False
M1_L,0.15482730198579425,False
MFC_L,0.14263855921113752,False
OFC_L,0.15482730198579425,False
SMTC_L,0.3013201985563652,False
SPC_L,0.3908138437547657,False
V1_L,0.7762067119355431,False
aCING_L,0.0796644589876207,False
aINS_L,0.037348900353083254,True
aITC_L,0.028625676599096428,True
dlPFC_L,0.2299050589549438,False
iPFC_L,0.4394694099211873,False
pCING_L,0.6474853823717112,False
ANG_R,0.028625676599096428,True
ATC_R,0.028625676599096428,True
HIP_R,0.3861317394104633,False
IFC_R,0.1567843656593863,False
M1_R,0.08925057417077686,False
MFC_R,0.028625676599096428,True
OFC_R,0.037348900353083254,True
SMTC_R,0.1555969713513027,False
SPC_R,0.4111878137552191,False
V1_R,0.7696094745834254,False
aCING_R,0.08925057417077686,False
aINS_R,0.028625676599096428,True
aITC_R,0.028625676599096428,True
dlPFC_R,0.0796644589876207,False
iPFC_R,0.15482730198579425,False
pCING_R,0.32806997431180634,False
