,corrected pval,Result
ANG_L,0.9982691431960771,False
ATC_L,0.9982691431960771,False
HIP_L,0.9982691431960771,False
IFC_L,0.9982691431960771,False
M1_L,0.9982691431960771,False
MFC_L,0.9982691431960771,False
OFC_L,0.9982691431960771,False
SMTC_L,0.9982691431960771,False
SPC_L,0.9982691431960771,False
V1_L,0.9982691431960771,False
aCING_L,0.9982691431960771,False
aINS_L,0.9982691431960771,False
aITC_L,0.9982691431960771,False
dlPFC_L,0.9982691431960771,False
iPFC_L,0.9982691431960771,False
pCING_L,0.9982691431960771,False
ANG_R,0.9982691431960771,False
ATC_R,0.9982691431960771,False
HIP_R,0.9982691431960771,False
IFC_R,0.9982691431960771,False
M1_R,0.9982691431960771,False
MFC_R,0.9982691431960771,False
OFC_R,0.9982691431960771,False
SMTC_R,0.9982691431960771,False
SPC_R,0.9982691431960771,False
V1_R,0.9982691431960771,False
aCING_R,0.9982691431960771,False
aINS_R,0.9982691431960771,False
aITC_R,0.9982691431960771,False
dlPFC_R,0.9982691431960771,False
iPFC_R,0.9982691431960771,False
pCING_R,0.9982691431960771,False
